trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
107,0.5,0.5,170.4147743,170.8986953,170.8986953,170.9148974,171.198444,right,0.5,1,1,1.1331904,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
108,0.5,0.5,172.0637929,172.5646922,172.5646922,172.5646922,172.8650205,left,-0.5,1,1,1.1983656,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
109,0.5,0,173.7810633,174.2808837,174.2808837,174.2808837,174.5961847,right,0,0,0,1.0158861,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
110,0.5,0.5,175.3145652,175.8146847,175.8146847,175.8146847,176.1131346,left,-0.5,1,1,0.8879884,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
111,0.5,0.5,176.73066,177.2315263,177.2315263,177.2315263,177.5464211,right,0.5,0,0,0.8533538,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
112,0.5,1,178.1143485,178.6151178,178.6151178,178.6312206,178.915001,right,1,0,0,0.7218255,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
113,0.5,1.5,179.364374,179.8644984,179.8644984,179.8644984,180.1644552,right,1.5,0,0,0.706015,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
114,0.5,2,180.5969106,181.0978016,181.0978016,181.0978016,181.3973619,right,2,0,0,0.8357222,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
115,0.5,2.5,181.9638031,182.4643118,182.4643118,182.4643118,182.7643492,left,-2.5,0,0,1.0502003,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
116,0.5,3,183.5311996,184.0314315,184.0314315,184.047722,184.3294906,left,-3,0,0,2.058932,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
117,0.5,3.5,186.1140579,186.6142901,186.6142901,186.6142901,186.9142992,right,3.5,1,1,1.0464184,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
118,0.5,3.5,187.6800836,188.180992,188.180992,188.180992,188.4811813,right,3.5,0,0,1.1112858,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
119,0.5,4,189.3133273,189.8141967,189.8141967,189.8141967,190.1140795,left,-4,1,1,0.9332364,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
120,0.5,4,190.7638284,191.2639184,191.2639184,191.2639184,191.5643753,left,-4,1,1,1.1160044,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
121,0.5,4,192.4141375,192.8975028,192.8975028,192.9138137,193.1966492,left,-4,1,1,0.9701882,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
122,0.5,3.5,193.8972609,194.3968122,194.3968122,194.3968122,194.6970191,right,3.5,1,1,0.807295,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
123,0.5,3.5,195.2295328,195.7306176,195.7306176,195.7306176,196.0303803,right,3.5,0,0,0.7681575,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
