trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
12,0.5,3,37.9044419,38.4042094,38.4042094,38.4042094,38.7050647,left,-3,1,1,0.9905913,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
13,0.5,3,39.4207497,39.9049315,39.9049315,39.9215965,40.2047557,left,-3,1,1,0.8517952,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
14,0.5,3,40.7877849,41.2873419,41.2873419,41.2873419,41.5882017,left,-3,1,1,0.8125798,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
15,0.5,2.5,42.1204653,42.621851,42.621851,42.621851,42.9212864,left,-2.5,1,1,0.8181275,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
16,0.5,2.5,43.4705953,43.9715395,43.9715395,43.9715395,44.2714241,right,2.5,1,1,0.6820513,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
17,0.5,2.5,44.6857752,45.1712844,45.1712844,45.1881141,45.4714061,left,-2.5,1,1,0.8556044,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
18,0.5,2,46.0536516,46.5377891,46.5377891,46.5541907,46.853696,right,2,1,1,0.8064403,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
19,0.5,2,47.3708526,47.8695867,47.8695867,47.8863425,48.1711693,right,2,1,1,0.7368689,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
20,0.5,2,48.6383777,49.1381866,49.1381866,49.1381866,49.4377128,left,-2,1,1,0.779958,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
21,0.5,1.5,49.9370898,50.4376904,50.4376904,50.4376904,50.7380077,right,1.5,1,1,0.7880773,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
22,0.5,1.5,51.2543074,51.7532132,51.7532132,51.7532132,52.0540685,right,1.5,1,1,1.0196303,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
23,0.5,1.5,52.8024369,53.2857014,53.2857014,53.3022323,53.5868525,right,1.5,1,1,0.7643718,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
24,0.5,1,54.0710257,54.5699587,54.5699587,54.5865504,54.8687265,left,-1,1,1,0.744266,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
25,0.5,1,55.3377662,55.8207151,55.8207151,55.8375706,56.1211006,left,-1,0,0,1.6869911,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
26,0.5,1.5,57.5364082,58.019253,58.019253,58.0367259,58.3203049,right,1.5,0,0,1.1938218,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
27,0.5,2,59.2366474,59.7377778,59.7377778,59.7377778,60.0373453,left,-2,0,0,1.4039951,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
28,0.5,2.5,61.170088,61.6689209,61.6689209,61.6689209,61.9702431,right,2.5,0,0,1.7005758,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
29,0.5,3,63.3864516,63.8865861,63.8865861,63.8865861,64.1871501,left,-3,1,1,1.1509886,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
30,0.5,3,65.070438,65.5536871,65.5536871,65.5712705,65.8534289,right,3,1,1,0.7954877,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
31,0.5,3,66.3701525,66.8704354,66.8704354,66.8704354,67.1870517,left,-3,1,1,0.8638501,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
32,0.5,2.5,67.7531783,68.2534482,68.2534482,68.2534482,68.5523291,left,-2.5,1,1,0.8511905,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
33,0.5,2.5,69.1350151,69.6361012,69.6361012,69.6361012,69.9364514,right,2.5,1,1,0.6237198,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
34,0.5,2.5,70.2864567,70.7865262,70.7865262,70.7865262,71.0867162,right,2.5,1,1,0.9016069,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
35,0.5,2,71.7191637,72.219738,72.219738,72.219738,72.5211417,left,-2,1,1,1.2324142,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
36,0.5,2,73.4693243,73.9700254,73.9700254,73.9700254,74.2697914,left,-2,1,1,1.227285,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
37,0.5,2,75.2179732,75.7195828,75.7195828,75.7195828,76.0196582,right,2,1,1,0.6302698,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
38,0.5,1.5,76.3679855,76.869686,76.869686,76.869686,77.1695532,left,-1.5,1,1,0.6617638,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
39,0.5,1.5,77.5523853,78.0534904,78.0534904,78.0534904,78.3530111,left,-1.5,1,1,0.71225,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
40,0.5,1.5,78.7865497,79.285907,79.285907,79.3028139,79.5859036,right,1.5,1,1,0.5850049,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
41,0.5,1,79.9010478,80.402621,80.402621,80.402621,80.7026484,left,-1,1,1,0.628646,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
42,0.5,1,81.0521301,81.5532065,81.5532065,81.5532065,81.8683433,right,1,1,1,0.6108109,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
43,0.5,1,82.1853009,82.6861078,82.6861078,82.6861078,82.9845589,right,1,1,1,0.8138912,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
44,0.5,0.5,83.5180666,84.018031,84.018031,84.018031,84.3194925,left,-0.5,1,1,0.7457945,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
45,0.5,0.5,84.7855478,85.2843965,85.2843965,85.3006523,85.5857142,right,0.5,0,0,1.0051278,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
46,0.5,1,86.3189309,86.8191148,86.8191148,86.8191148,87.1340799,right,1,0,0,0.9792086,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
47,0.5,1.5,87.8178739,88.3189639,88.3189639,88.3189639,88.6194128,left,-1.5,1,1,0.7050291,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
48,0.5,1.5,89.0521779,89.5524459,89.5524459,89.5524459,89.8521452,right,1.5,0,0,0.937529,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
49,0.5,2,90.5186749,91.0185472,91.0185472,91.0185472,91.3180617,right,2,0,0,0.6913667,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
50,0.5,2.5,91.7344044,92.2356263,92.2356263,92.2356263,92.5360419,right,2.5,1,1,1.0730272,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
51,0.5,2.5,93.3350261,93.8353955,93.8353955,93.8353955,94.1342099,right,2.5,1,1,0.6430682,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
52,0.5,2.5,94.5013063,94.984553,94.984553,95.0017526,95.2861494,right,2.5,1,1,0.6294062,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
53,0.5,2,95.633845,96.1188474,96.1188474,96.1345833,96.4186133,right,2,1,1,1.0578249,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
54,0.5,2,97.2016125,97.7020815,97.7020815,97.7020815,98.018013,right,2,0,0,1.0065786,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
55,0.5,2.5,98.7348399,99.2350483,99.2350483,99.2350483,99.53447,left,-2.5,0,0,1.2379645,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
56,0.5,3,100.5015081,101.0022164,101.0022164,101.0022164,101.3018972,right,3,0,0,0.8227367,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
57,0.5,3.5,101.8504079,102.3348492,102.3348492,102.3518302,102.6345973,left,-3.5,1,1,0.7614323,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
58,0.5,3.5,103.1177441,103.6181222,103.6181222,103.6181222,103.9185671,left,-3.5,1,1,0.7287827,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
59,0.5,3.5,104.3681333,104.8681278,104.8681278,104.8846766,105.1664991,right,3.5,1,1,0.6069414,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
60,0.5,3,105.5008752,106.0009601,106.0009601,106.0174063,106.3020639,left,-3,1,1,0.818481,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
61,0.5,3,106.8511703,107.3515855,107.3515855,107.3515855,107.6516888,left,-3,1,1,0.8172852,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
62,0.5,3,108.2012135,108.6853451,108.6853451,108.7016,108.9847865,right,3,1,1,0.6888764,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
63,0.5,2.5,109.3996913,109.9015865,109.9015865,109.9015865,110.2015144,left,-2.5,1,1,0.8576026,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
64,0.5,2.5,110.7823564,111.2677452,111.2677452,111.2839278,111.5825084,right,2.5,0,0,1.1729587,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
65,0.5,3,112.4668345,112.9511283,112.9511283,112.9676146,113.2523111,left,-3,0,0,0.8442863,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
66,0.5,3.5,113.8171841,114.3179182,114.3179182,114.3179182,114.6178592,right,3.5,1,1,0.6363299,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
67,0.5,3.5,114.9838067,115.4856508,115.4856508,115.4856508,115.7845908,left,-3.5,1,1,0.6136588,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
68,0.5,3.5,116.1172195,116.6010895,116.6010895,116.617661,116.9175699,left,-3.5,1,1,0.901557,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
69,0.5,3,117.5336604,118.0343968,118.0343968,118.0343968,118.3341549,right,3,1,1,0.7228537,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
70,0.5,3,118.7827636,119.2845458,119.2845458,119.2845458,119.5841767,left,-3,1,1,0.8192511,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
71,0.5,3,120.1327884,120.6167418,120.6167418,120.6337375,120.9177714,left,-3,1,1,0.7521684,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
72,0.5,2.5,121.400013,121.9005478,121.9005478,121.9005478,122.1992766,left,-2.5,1,1,0.8565969,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
